uid	sid	timestamp
A3G6XNM240RMWA	7806397051	1378425600
A38FVHZTNQ271F	7806397051	1382140800
A3BTN14HIZET6Z	7806397051	1365984000
A3LMILRM9OC3SA	9759091062	1405209600
A30IP88QK3YUIO	9759091062	1388102400
A3FE8W8UV95U6B	9759091062	1392681600
AP5WTCMP6DTRV	9759091062	1389398400
A2SIAYDK7GG7QA	9759091062	1383264000
A1QV5IH6HDRN0L	9788072216	1316390400
A3UQXHI88S7XAX	9788072216	1376092800
A2EK2CJNJUF7OQ	9788072216	1322438400
A2GWNGQF9SHRE4	9788072216	1338076800
ABV67T136UXFQ	9788072216	1359763200
A2FQZKL2KIZACO	9790790961	1394496000
A312RDWQYLAG7S	9790790961	1324252800
A3TYR1ALBZ2EU9	9790790961	1378598400
AUYVMLI0CBMYS	9790790961	1391299200
A2H0VDRANZMGGX	9790790961	1392336000
A2MZDI3I5AEL74	9790790961	1392163200
A3R9H6OKZHHRJD	9790794231	1402185600
A2II54B3VA45LN	9790794231	1207008000
A2W0O92FZFHJOJ	9790794231	1234310400
ARXL1MF07FKY3	9790794231	1392163200
AVM6OR01CPJNQ	B00004TMFE	1365724800
A8TWSBLUYJR0U	B00004TMFE	1385164800
AUJZEJ5KJU6OQ	B00004TMFE	1344729600
A2EVBQAN92IEZS	B00004TMFE	1379030400
A2VOGNBUMXSW13	B00004TMFE	1357516800
AX1567KGMAVLT	B00004TMFE	1300060800
A2ZQE4X9GYJMRI	B00004TMFE	1324339200
A38VDDNZ7A3QM0	B00004TMFE	1386028800
AIBDCIWC061A	B00004TMFE	1378425600
A1S8KORSO7AL10	B00004TMFE	1296518400
A2X0X13NTPOZN1	B00004TMFE	1392595200
A66XG9X8S7IH	B00004TMFE	1335398400
A1ACH77RG6C8MN	B00004TMFE	1401840000
A1D94IJBAPKVYV	B00004TUBL	1373846400
A3B7900K4X1AY5	B00004TUBL	1180137600
A2RQOO8VYAEZZG	B00004TUBL	1403136000
A2LI8L6O4M0G1K	B00004TUBL	1329091200
A26869WFGMMZHM	B00004TUBL	1399075200
A1NEIH01B5X6QL	B00004TUBL	1400716800
A1REYI6T6VJHKK	B00004TUBL	1369526400
A265CA7CZPYQ65	B00004TUBL	1383696000
AMB2Z4FMDBWQY	B00004TUBL	1303344000
A2HRHF83I3NDGT	B00004TUBL	1385510400
A2P99LRDXBF8NF	B00004TUBV	1403308800
A3VOND2IXC3VET	B00004TUBV	1344211200
AMYBVJ1JP667H	B00004TUBV	1357430400
AY1EF0GOH80EK	B00004TUBV	1353801600
A1J7CRZ4OJ1T2L	B00004U9UY	1333670400
AD526SECC3I9D	B00004U9UY	1386201600
A3AZI828WJN1CD	B00004U9UY	1357344000
ACUGBCEADYT6D	B00004U9UY	1402617600
A14VNXS7M0JO5K	B00004U9UY	1383350400
A3VU2J7G0U35AU	B00004U9UY	1328486400
A2K3A3HA229ZVN	B00004U9UY	1363910400
A287547UH1VBJ7	B00004U9UY	1356739200
ASXPNU896V9I8	B00004U9UY	1360800000
A3S3R88HA0HZG3	B00004U9UY	1238544000
AD526SECC3I9D	B00004U9V2	1386201600
ACUGBCEADYT6D	B00004U9V2	1402617600
A3VU2J7G0U35AU	B00004U9V2	1397260800
A1LR48HRU3LSHF	B00004U9V2	1370131200
A3O0BXK3SZ6FE0	B00004U9V2	1399248000
A24YA4ZYCDUIKP	B00004U9V2	1351382400
AEEJGDRRGLBB1	B000050B6U	1376438400
A2K6LI89NAD2J2	B000050B6U	1365638400
A1P9UMP1XSE6MI	B000050B6U	1391385600
A4WX0FZ1MMAUH	B000050B6U	1395446400
AHP55PFHJL0H8	B000050B6U	1391558400
A3T4OHEAHOJ700	B000050B6U	1395705600
A3TQZLWYCQXLCQ	B000050B6U	1355529600
A2RUV6V9CWZAA0	B000050B6U	1300838400
A17V9XL4CWTQ6G	B000050B6U	1255305600
A2X5QDOMVGWFUC	B000050B6U	1351814400
A2S6QCNNN8AK91	B000050B6U	1393286400
A33AQPJYH7UUXR	B000050B6U	1327190400
A21JMECLD2N7I2	B000050B6U	1388016000
A3QOIDA6B2NIPO	B000050B6U	1273708800
A1SQW9H85UVYNU	B000050B6U	1380672000
A1H2M09FY6B9LR	B000050B6U	1360108800
A339O8ZW72WHZ0	B000050B6U	1398816000
A27DNSEA1L04L2	B000050B6U	1355356800
A22CW0ZHY3NJH8	B000050B6U	1372896000
AR18PHLJDG19R	B000050B6U	1376784000
ABAHRPQTOEP8L	B000050B6U	1384387200
AWXNJ01KHLU3B	B000050B6U	1359676800
A9JG8QKH3NWFJ	B000050B6U	1346025600
A77L8C71G9XMK	B000050B6U	1373846400
